latitude,longitude,depth_m
18.52084000,73.99149500,1.69000000
18.52084000,73.99161500,1.75000000
18.52084000,73.99173500,1.80000000
18.52084000,73.99185500,1.84000000
18.52084000,73.99197500,1.88000000
18.52084000,73.99209500,1.88000000
18.52084000,73.99221500,1.84000000
18.52084000,73.99233500,1.80000000
18.52084000,73.99245500,1.75000000
18.52084000,73.99257500,1.69000000
18.52096000,73.99137500,1.69000000
18.52096000,73.99149500,1.75000000
18.52096000,73.99161500,1.80000000
18.52096000,73.99173500,1.84000000
18.52096000,73.99185500,1.88000000
18.52096000,73.99197500,1.91000000
18.52096000,73.99209500,1.91000000
18.52096000,73.99221500,1.88000000
18.52096000,73.99233500,1.84000000
18.52096000,73.99245500,1.80000000
18.52096000,73.99257500,1.75000000
18.52096000,73.99269500,1.69000000
18.52108000,73.99137500,1.69000000
18.52108000,73.99149500,1.75000000
18.52108000,73.99161500,1.80000000
18.52108000,73.99173500,1.84000000
18.52108000,73.99185500,1.88000000
18.52108000,73.99197500,1.91000000
18.52108000,73.99209500,1.94000000
18.52108000,73.99221500,1.91000000
18.52108000,73.99233500,1.88000000
18.52108000,73.99245500,1.84000000
18.52108000,73.99257500,1.80000000
18.52108000,73.99269500,1.75000000
18.52108000,73.99281500,1.69000000
18.52120000,73.99137500,1.69000000
18.52120000,73.99149500,1.75000000
18.52120000,73.99161500,1.80000000
18.52120000,73.99173500,1.84000000
18.52120000,73.99185500,1.88000000
18.52120000,73.99197500,1.91000000
18.52120000,73.99209500,1.94000000
18.52120000,73.99221500,1.91000000
18.52120000,73.99233500,1.88000000
18.52120000,73.99245500,1.84000000
18.52120000,73.99257500,1.80000000
18.52120000,73.99269500,1.75000000
18.52120000,73.99281500,1.69000000
18.52132000,73.99137500,1.69000000
18.52132000,73.99149500,1.75000000
18.52132000,73.99161500,1.80000000
18.52132000,73.99173500,1.84000000
18.52132000,73.99185500,1.88000000
18.52132000,73.99197500,1.91000000
18.52132000,73.99209500,1.91000000
18.52132000,73.99221500,1.88000000
18.52132000,73.99233500,1.84000000
18.52132000,73.99245500,1.80000000
18.52132000,73.99257500,1.75000000
18.52132000,73.99269500,1.69000000
18.52144000,73.99137500,1.69000000
18.52144000,73.99149500,1.75000000
18.52144000,73.99161500,1.80000000
18.52144000,73.99173500,1.84000000
18.52144000,73.99185500,1.88000000
18.52144000,73.99197500,1.91000000
18.52144000,73.99209500,1.91000000
18.52144000,73.99221500,1.88000000
18.52144000,73.99233500,1.84000000
18.52144000,73.99245500,1.80000000
18.52144000,73.99257500,1.75000000
18.52144000,73.99269500,1.69000000
18.52156000,73.99137500,1.69000000
18.52156000,73.99149500,1.75000000
18.52156000,73.99161500,1.80000000
18.52156000,73.99173500,1.84000000
18.52156000,73.99185500,1.88000000
18.52156000,73.99197500,1.91000000
18.52156000,73.99209500,1.91000000
18.52156000,73.99221500,1.88000000
18.52156000,73.99233500,1.84000000
18.52156000,73.99245500,1.80000000
